country,year,iso_code,population,gdp,biofuel_cons_per_capita,biofuel_consumption,biofuel_electricity,biofuel_share_energy,electricity_generation,energy_per_capita,oil_consumption,renewables_share_energy,continent,gdp_per_capita,biofuel_consumption_lag1,biofuel_share_energy_lag1,gdp_per_capita_lag1,biofuel_cagr_5y,top80_consumer
Angola,2018,AGO,31297160.0,162550037080.0,0.0,0.0,0.05,,13.14,2910.07,,,Africa,5193.76317467783,0.0,,5447.944596392056,,0
Angola,2019,AGO,32375633.0,161408924528.0,0.0,0.0,0.05,,15.82,2937.561,,,Africa,4985.506369188211,0.0,,5193.76317467783,,0
Angola,2020,AGO,33451139.0,152308692850.0,0.0,0.0,0.05,,16.81,2281.591,,,Africa,4553.169111820079,0.0,,4985.506369188211,,0
Angola,2021,AGO,34532427.0,153971902307.0,0.0,0.0,0.05,,16.85,2491.884,,,Africa,4458.762840706215,0.0,,4553.169111820079,,0
Angola,2022,AGO,35635028.0,158346237030.0,0.0,0.0,0.05,,17.31,2713.824,,,Africa,4443.555847072717,0.0,,4458.762840706215,,0
Angola,2023,AGO,36749909.0,,0.0,0.0,0.05,,15.75,2680.342,,,Africa,,0.0,,4443.555847072717,,0
Angola,2024,AGO,37885854.0,,0.0,0.0,0.05,,15.59,,,,Africa,,0.0,,,,0
Argentina,2000,ARG,37213986.0,536480965694.0,0.0,0.0,0.39,0.0,88.98,18907.803,269.796,11.557,South America,14416.111343031085,,,,,0
Argentina,2001,ARG,37624817.0,514867255248.0,0.0,0.0,0.36,0.0,90.14,18268.281,250.165,15.036,South America,13684.2460987385,0.0,0.0,14416.111343031085,,0
Argentina,2002,ARG,38029345.0,460558541367.0,0.0,0.0,0.53,0.0,84.59,17306.4,236.546,15.335,South America,12110.609356195853,0.0,0.0,13684.2460987385,,0
Argentina,2003,ARG,38424283.0,503104157615.0,0.0,0.0,0.88,0.0,92.07,18341.469,240.754,13.613,South America,13093.390906344302,0.0,0.0,12110.609356195853,,0
Argentina,2004,ARG,38815915.0,550306327169.0,0.0,0.0,0.87,0.0,100.26,19351.779,261.026,11.465,South America,14177.337495947217,0.0,0.0,13093.390906344302,,0
Argentina,2005,ARG,39216786.0,601050418142.0,0.0,0.0,0.92,0.0,105.75,20306.785,272.524,12.032,South America,15326.35586562346,0.0,0.0,14177.337495947217,,0
Argentina,2006,ARG,39622113.0,652296814311.0,0.0,0.0,1.05,0.0,113.43,21100.816,286.841,12.678,South America,16462.94871530451,0.0,0.0,15326.35586562346,,0
